YEAR,MONTH,PRCP,TAVG,TMAX,TMIN
2005,03,2.11,26.7,38.1,15.3
2005,04,3.2,44.7,60.7,28.7
2005,05,1.33,48.5,64.4,32.5
2005,06,3.32,66.7,80.7,52.6
2005,07,2.05,68.9,83.6,54.2
2005,08,4.83,67.7,82.7,52.7
2005,09,4.09,60.0,76.3,43.7
2005,10,5.09,48.0,58.5,37.4
2005,11,4.73,47.1,59.39,29.3
2005,12,1.58,24.1,31.1,17.0
2006,01,3.2,47.1,59.39,22.9
2006,02,1.96,25.2,34.3,16.1
2006,03,2.22,31.4,42.8,19.9
2006,04,2.4,45.1,60.2,30.0
2006,05,2.22,53.5,67.4,39.8
2006,06,4.35,62.4,73.7,51.1
2006,07,6.36,67.9,79.0,56.7
2006,08,4.94,64.9,77.0,52.8
2006,09,5.13,55.6,64.8,46.4
2006,10,5.96,45.3,56.0,34.6
2006,11,2.59,42.3,52.8,31.7
2006,12,2.67,35.3,43.3,27.3
2007,01,4.56,47.1,59.39,18.3
2007,02,2.07,16.0,25.6,6.4
2007,03,2.79,33.3,47.7,19.0
2007,04,3.4,40.6,51.5,29.7
2007,05,0.91,55.2,72.2,38.2
2007,06,3.25,63.0,77.7,48.4
2007,07,4.57,62.6,75.8,49.4
2007,08,2.29,65.1,77.7,52.5
2007,09,3.35,59.7,74.0,45.4
2007,10,2.96,54.1,66.8,41.4
2007,11,3.37,35.8,44.9,26.7
2007,12,4.12,27.1,34.0,20.2
2008,01,1.25,47.1,59.39,19.1
2008,02,3.92,47.1,59.39,13.2
2008,03,4.42,28.4,40.2,16.6
2008,04,1.77,47.7,63.9,31.5
2008,05,2.93,49.1,63.3,35.0
2008,06,4.5,64.6,76.2,53.1
2008,07,4.38,65.3,77.3,53.3
2008,08,3.7,62.1,74.0,50.2
2008,09,3.71,58.0,70.2,45.7
2008,10,3.09,45.4,58.8,32.0
2008,11,2.09,34.9,43.8,26.0
2008,12,3.31,47.1,59.39,18.6
2009,01,2.08,14.5,26.1,3.0
2009,02,1.09,47.1,59.39,14.4
2009,03,3.12,33.5,47.1,20.0
2009,04,1.47,45.3,60.9,29.8
2009,05,3.55,54.2,69.0,39.4
2009,06,4.7,59.5,70.5,48.6
2009,07,3.63,61.4,72.3,50.5
2009,08,7.72,64.8,75.4,54.2
2009,09,1.49,59.0,71.0,47.0
2009,10,3.24,47.0,56.7,37.4
2009,11,1.61,42.0,53.4,30.6
2009,12,2.99,25.8,33.7,17.9
2010,01,2.04,23.1,32.1,14.1
2010,02,1.39,24.0,31.6,16.4
