YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2024,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"1,592,706"
2024,1,CA,Total Electric Power Industry,Natural Gas,"9,772,239"
2024,1,CA,Total Electric Power Industry,Nuclear,"1,680,738"
2024,1,CA,Total Electric Power Industry,Other Gases,"126,754"
2024,1,CA,Total Electric Power Industry,Other,"-33,502"
2024,1,CA,Total Electric Power Industry,Petroleum,"5,645"
2024,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"2,165,436"
2024,1,CA,Total Electric Power Industry,Other Biomass,"198,985"
2024,1,CA,Total Electric Power Industry,Wind,"1,100,025"
2024,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"222,723"
2024,1,CA,"Combined Heat and Power, Industrial Power",Total,"977,320"
2024,1,CA,"Combined Heat and Power, Industrial Power",Coal,"21,761"
2024,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"728,591"
2024,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,"126,754"
2024,1,CA,"Combined Heat and Power, Industrial Power",Other,"24,613"
2024,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,335
2024,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"11,177"
2024,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,956
2024,1,CA,"Combined Heat and Power, Industrial Power",Wind,139
2024,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"62,994"
2024,1,CA,"Combined Heat and Power, Commercial Power",Total,"206,475"
2024,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2024,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"2,414"
2024,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,"126,341"
2024,1,CA,"Combined Heat and Power, Commercial Power",Other,"4,832"
2024,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,583
2024,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"10,415"
2024,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,"61,268"
2024,1,CA,"Combined Heat and Power, Commercial Power",Wind,622
2024,1,CA,"Combined Heat and Power, Electric Power",Total,"1,022,429"
2024,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2024,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,"947,003"
2024,1,CA,"Combined Heat and Power, Electric Power",Other,"4,707"
2024,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,CA,"Combined Heat and Power, Electric Power",Solar Thermal and Photovoltaic,358
2024,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,"10,735"
2024,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"59,626"
2024,1,CA,"Electric Generators, Independent Power Producers",Total,"9,109,237"
2024,1,CA,"Electric Generators, Independent Power Producers",Geothermal,"859,941"
2024,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"90,748"
2024,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,"4,797,057"
2024,1,CA,"Electric Generators, Independent Power Producers",Other,"-64,815"
2024,1,CA,"Electric Generators, Independent Power Producers",Petroleum,"1,793"
2024,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"2,125,490"
2024,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,"124,095"
2024,1,CA,"Electric Generators, Independent Power Producers",Wind,"1,074,824"
2024,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"100,103"
2024,1,CA,"Electric Generators, Electric Utilities",Total,"6,395,002"
2024,1,CA,"Electric Generators, Electric Utilities",Geothermal,"37,355"
2024,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,"-40,343"
2024,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,499,544"
2024,1,CA,"Electric Generators, Electric Utilities",Natural Gas,"3,173,246"
2024,1,CA,"Electric Generators, Electric Utilities",Nuclear,"1,680,738"
2024,1,CA,"Electric Generators, Electric Utilities",Other Gases,0
2024,1,CA,"Electric Generators, Electric Utilities",Other,"-2,839"
2024,1,CA,"Electric Generators, Electric Utilities",Petroleum,"2,934"
2024,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"17,995"
2024,1,CA,"Electric Generators, Electric Utilities",Other Biomass,"1,931"
2024,1,CA,"Electric Generators, Electric Utilities",Wind,"24,440"
2024,1,CO,Total Electric Power Industry,Total,"5,258,165"
2024,1,CO,Total Electric Power Industry,Coal,"1,890,248"
2024,1,CO,Total Electric Power Industry,Pumped Storage,"10,828"
2024,1,CO,Total Electric Power Industry,Hydroelectric Conventional,"82,383"
2024,1,CO,Total Electric Power Industry,Natural Gas,"1,712,944"
2024,1,CO,Total Electric Power Industry,Other,637
2024,1,CO,Total Electric Power Industry,Petroleum,"18,578"
2024,1,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,"308,777"
2024,1,CO,Total Electric Power Industry,Other Biomass,"6,366"
2024,1,CO,Total Electric Power Industry,Wind,"1,223,140"
2024,1,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,"4,264"
2024,1,CO,"Combined Heat and Power, Industrial Power",Total,"18,087"
2024,1,CO,"Combined Heat and Power, Industrial Power",Coal,0
2024,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,"14,271"
2024,1,CO,"Combined Heat and Power, Industrial Power",Other,"3,720"
2024,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,5
2024,1,CO,"Combined Heat and Power, Industrial Power",Wind,91
2024,1,CO,"Combined Heat and Power, Commercial Power",Total,"1,494"
2024,1,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,456
2024,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,177
2024,1,CO,"Combined Heat and Power, Commercial Power",Other,0
2024,1,CO,"Combined Heat and Power, Commercial Power",Petroleum,0
2024,1,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,861
2024,1,CO,"Combined Heat and Power, Electric Power",Total,"3,504"
2024,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,0
2024,1,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,"3,504"
2024,1,CO,"Electric Generators, Independent Power Producers",Total,"1,473,368"
2024,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"13,107"
2024,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,"240,750"
2024,1,CO,"Electric Generators, Independent Power Producers",Other,"-3,064"
2024,1,CO,"Electric Generators, Independent Power Producers",Petroleum,"3,142"
2024,1,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"307,268"
2024,1,CO,"Electric Generators, Independent Power Producers",Other Biomass,"2,862"
2024,1,CO,"Electric Generators, Independent Power Producers",Wind,"905,040"
2024,1,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"4,264"
2024,1,CO,"Electric Generators, Electric Utilities",Total,"3,761,713"
2024,1,CO,"Electric Generators, Electric Utilities",Coal,"1,890,248"
2024,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,"10,828"
2024,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"68,820"
2024,1,CO,"Electric Generators, Electric Utilities",Natural Gas,"1,457,747"
2024,1,CO,"Electric Generators, Electric Utilities",Other,-19
2024,1,CO,"Electric Generators, Electric Utilities",Petroleum,"15,431"
2024,1,CO,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,648
2024,1,CO,"Electric Generators, Electric Utilities",Wind,"318,009"
2024,1,CT,Total Electric Power Industry,Total,"3,516,565"
2024,1,CT,Total Electric Power Industry,Coal,0
2024,1,CT,Total Electric Power Industry,Pumped Storage,"3,172"
2024,1,CT,Total Electric Power Industry,Hydroelectric Conventional,"38,234"
2024,1,CT,Total Electric Power Industry,Natural Gas,"2,078,979"
2024,1,CT,Total Electric Power Industry,Nuclear,"1,263,781"
2024,1,CT,Total Electric Power Industry,Other,"37,297"
2024,1,CT,Total Electric Power Industry,Petroleum,"36,577"
2024,1,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,"16,496"
2024,1,CT,Total Electric Power Industry,Other Biomass,"30,978"
2024,1,CT,Total Electric Power Industry,Wind,"1,306"
2024,1,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,"9,744"
2024,1,CT,"Combined Heat and Power, Industrial Power",Total,"64,847"
2024,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,"63,469"
2024,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,"1,085"
2024,1,CT,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,293
2024,1,CT,"Combined Heat and Power, Commercial Power",Total,"29,411"
2024,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,"28,779"
2024,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,341
2024,1,CT,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,291
